Players,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,FG%,3P%,2P%,eFG%,FT%,Height,Weight
Joel Anthony,0.09,0.15,0.12,0.02,0.01,0.06,0.16,0.49,,0.49,0.49,0.65,206,111
Joel Bolomboy,0.09,0.28,0.19,0.06,0.01,0.03,0.1,0.56,0.25,0.67,0.59,0.5,206,106
Joel Embiid,0.09,0.26,0.17,0.16,0.02,0.08,0.18,0.47,0.37,0.5,0.51,0.78,213,113
Joel Freeland,0.11,0.2,0.16,0.05,0.01,0.02,0.13,0.46,0,0.46,0.46,0.73,208,113
Joel Przybilla,0.1,0.28,0.19,0.03,0.01,0.03,0.31,0.5,0,0.5,0.5,0.49,216,115
Joey Dorsey,0.14,0.26,0.2,0.08,0.02,0.01,0.17,0.49,0,0.49,0.49,0.42,203,121
Joey Graham,0.05,0.15,0.1,0.05,0.01,0.01,0.14,0.47,0.33,0.49,0.48,0.8,201,102
Joffrey Lauvergne,0.09,0.21,0.15,0.1,0.01,0.01,0.14,0.44,0.28,0.49,0.48,0.68,211,99
Johan Petro,0.09,0.23,0.16,0.06,0.02,0.02,0.14,0.44,0.16,0.44,0.44,0.67,213,112
John Henson,0.11,0.2,0.16,0.08,0.01,0.07,0.14,0.53,0,0.53,0.53,0.58,211,103
John Jenkins,0.02,0.11,0.06,0.1,0.01,0,0.11,0.44,0.34,0.49,0.51,0.89,193,97
John Lucas,0.01,0.04,0.03,0.2,0.02,0,0.07,0.35,0.23,0.4,0.4,0.64,190,79
John Salmons,0.02,0.1,0.06,0.13,0.02,0.01,0.11,0.42,0.37,0.44,0.48,0.79,201,95
John Wall,0.02,0.12,0.07,0.42,0.02,0.01,0.17,0.43,0.28,0.45,0.46,0.79,193,88
Johnny O'Bryant,0.11,0.13,0.12,0.11,0,0.01,0.15,0.46,0.63,0.46,0.49,0.69,206,116
Jon Brockman,0.15,0.2,0.17,0.05,0.01,0,0.16,0.46,0,0.46,0.46,0.58,201,115
Jon Leuer,0.07,0.19,0.13,0.08,0.01,0.01,0.11,0.48,0.25,0.51,0.5,0.64,208,103
Jonas Jerebko,0.08,0.18,0.13,0.08,0.02,0.01,0.12,0.45,0.36,0.49,0.51,0.78,208,104
Jonas Valanciunas,0.12,0.25,0.19,0.04,0.01,0.03,0.14,0.56,0.17,0.56,0.56,0.78,213,120
Jonathan Bender,0.06,0.15,0.1,0.08,0,0.04,0.2,0.4,0.36,0.43,0.47,0.92,211,91
Jonathan Gibson,0.01,0.11,0.06,0.19,0.02,0,0.16,0.37,0.33,0.4,0.45,0.72,188,83
Jonathon Simmons,0.02,0.11,0.07,0.12,0.02,0.01,0.15,0.46,0.34,0.5,0.5,0.75,185,83
Jonny Flynn,0.02,0.08,0.05,0.31,0.01,0,0.2,0.36,0.3,0.38,0.4,0.77,183,83
