Players,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,FG%,3P%,2P%,eFG%,FT%,Height,Weight
Rudy Fernandez,0.02,0.1,0.06,0.15,0.02,0.01,0.13,0.4,0.35,0.47,0.51,0.82,198,83
Rudy Gay,0.05,0.15,0.1,0.12,0.02,0.02,0.12,0.45,0.34,0.47,0.48,0.81,203,104
Rudy Gobert,0.13,0.28,0.21,0.06,0.01,0.07,0.19,0.58,0,0.58,0.58,0.58,216,111
Russ Smith,0.02,0.1,0.06,0.2,0.03,0,0.27,0.31,0.19,0.38,0.35,0.82,183,74
Russell Westbrook,0.06,0.15,0.1,0.41,0.03,0.01,0.16,0.43,0.3,0.46,0.46,0.82,190,90
Ryan Anderson,0.09,0.15,0.12,0.06,0.01,0.01,0.08,0.42,0.38,0.47,0.52,0.86,208,108
Ryan Bowen,0.1,0.1,0.1,0.04,0.04,0.01,0.08,0.69,0,0.69,0.69,0.72,201,97
Ryan Gomes,0.04,0.13,0.09,0.07,0.01,0,0.11,0.41,0.26,0.47,0.45,0.78,201,113
Ryan Hollins,0.1,0.13,0.11,0.03,0.01,0.04,0.2,0.58,0,0.58,0.58,0.6,213,108
Ryan Kelly,0.03,0.17,0.1,0.1,0.01,0.02,0.1,0.35,0.3,0.37,0.41,0.79,211,104
Ryan Reid,0.07,0.06,0.07,0,0,0,0.17,0.8,,0.8,0.8,,203,105
Salah Mejri,0.12,0.26,0.18,0.03,0.01,0.07,0.19,0.64,0.17,0.64,0.64,0.59,216,111
Salim Stoudamire,0.01,0.06,0.04,0.12,0.01,0.01,0.09,0.36,0.34,0.38,0.44,0.82,185,81
Sam Cassell,0.02,0.11,0.06,0.29,0.02,0,0.14,0.43,0.32,0.44,0.45,0.87,190,83
Sam Dekker,0.04,0.17,0.1,0.04,0.05,0.01,0.08,0.47,0.32,0.59,0.54,0.56,206,104
Sam Young,0.05,0.13,0.09,0.07,0.02,0.01,0.12,0.39,0.29,0.4,0.42,0.71,198,99
Samardo Samuels,0.09,0.14,0.11,0.05,0.01,0.02,0.13,0.43,0,0.43,0.43,0.63,206,117
Samuel Dalembert,0.13,0.26,0.19,0.04,0.01,0.05,0.18,0.51,0.17,0.51,0.51,0.73,211,115
Sasha Kaun,0.14,0.17,0.16,0.05,0.02,0.04,0.24,0.53,,0.53,0.53,0.46,211,117
Sasha Pavlovic,0.01,0.11,0.06,0.09,0.01,0.02,0.13,0.37,0.32,0.41,0.44,0.48,211,122
Sasha Vujacic,0.02,0.13,0.08,0.12,0.02,0,0.13,0.39,0.38,0.4,0.48,0.79,201,88
Scot Pollard,0.1,0.15,0.13,0.03,0.01,0.03,0.13,0.52,,0.52,0.52,0.68,211,120
Scott Machado,0,0.05,0.03,0.44,0.05,0,0.54,0.5,0,0.6,0.5,1,185,92
Scotty Hopson,0,0,0,0.19,0.07,0,0,0,0,0,0,0.5,201,92
Sean Kilpatrick,0.02,0.09,0.06,0.09,0.01,0,0.11,0.41,0.32,0.59,0.49,0.9,193,95
Sean Marks,0.12,0.17,0.15,0.03,0.01,0.03,0.16,0.49,0.48,0.49,0.5,0.58,208,113
Sean May,0.08,0.19,0.13,0.07,0.01,0.01,0.16,0.43,0.5,0.43,0.43,0.68,206,120
Sean Singletary,0.04,0.1,0.07,0.14,0.02,0,0.19,0.36,0.4,0.35,0.42,0.89,183,83
Sean Williams,0.12,0.15,0.13,0.06,0.02,0.06,0.23,0.52,0,0.52,0.52,0.75,208,106
Sebastian Telfair,0.01,0.08,0.04,0.26,0.02,0.01,0.16,0.39,0.3,0.43,0.44,0.78,183,74
Semaj Christon,0.02,0.08,0.05,0.18,0.01,0.01,0.15,0.35,0.19,0.41,0.37,0.55,190,86
Semih Erden,0.08,0.15,0.12,0.04,0.01,0.03,0.17,0.49,,0.49,0.49,0.66,213,108
Serge Ibaka,0.09,0.19,0.14,0.04,0.01,0.06,0.11,0.51,0.34,0.53,0.54,0.77,208,106
Sergey Karasev,0.02,0.12,0.07,0.1,0.01,0,0.19,0.38,0.27,0.5,0.45,0.86,201,94
Sergio Rodriguez,0.03,0.08,0.05,0.33,0.02,0,0.22,0.43,0.34,0.46,0.48,0.72,190,79
Seth Curry,0,0.11,0.06,0.08,0.04,0,0.05,0.32,0.58,0.2,0.43,0.84,188,83
Shabazz Muhammad,0.08,0.11,0.09,0.05,0.01,0,0.08,0.47,0.32,0.51,0.5,0.73,198,101
Shabazz Napier,0.02,0.1,0.06,0.21,0.02,0,0.19,0.37,0.35,0.39,0.46,0.77,185,79
Shane Battier,0.04,0.11,0.08,0.09,0.02,0.02,0.11,0.42,0.37,0.48,0.53,0.74,203,99
Shane Edwards,0.09,0.1,0.09,0,0,0,0.25,0.33,,0.33,0.33,,201,99
Shane Larkin,0.02,0.09,0.05,0.23,0.03,0,0.19,0.42,0.33,0.45,0.46,0.73,180,79
Shannon Brown,0.03,0.08,0.05,0.09,0.02,0.01,0.15,0.39,0.28,0.41,0.43,0.75,193,92
Shaquille O'Neal*,0.1,0.24,0.17,0.09,0.01,0.04,0.18,0.6,0,0.6,0.6,0.53,216,147
Shareef Abdur-Rahim,0.14,0.09,0.12,0.11,0.01,0,0.06,0.21,,0.21,0.21,1,206,102
Shaun Livingston,0.02,0.1,0.06,0.2,0.02,0.01,0.18,0.48,0.13,0.48,0.48,0.85,201,87
Shavlik Randolph,0.17,0.2,0.19,0.07,0.01,0.02,0.14,0.38,0.25,0.39,0.38,0.59,208,108
Shawn Long,0.19,0.21,0.2,0.11,0.02,0.03,0.1,0.56,0.37,0.6,0.59,0.54,206,115
Shawn Marion,0.08,0.2,0.14,0.09,0.02,0.02,0.11,0.49,0.25,0.52,0.51,0.76,201,99
Shawne Williams,0.06,0.15,0.1,0.06,0.01,0.02,0.09,0.37,0.28,0.45,0.45,0.82,185,91
Shayne Whittington,0.12,0.19,0.15,0.1,0.02,0.02,0.19,0.45,0.08,0.53,0.46,0.64,211,113
Shelden Williams,0.11,0.22,0.16,0.05,0.02,0.02,0.14,0.46,0,0.47,0.46,0.73,185,91
Sheldon McClellan,0.02,0.12,0.07,0.07,0.01,0.01,0.05,0.4,0.23,0.51,0.45,0.85,196,90
Shelvin Mack,0.01,0.1,0.06,0.27,0.02,0,0.2,0.44,0.29,0.54,0.49,0.69,190,92
Sherron Collins,0,0.09,0.05,0.2,0.02,0,0.14,0.28,0.2,0.33,0.32,1,180,92
Sim Bhullar,0,0.37,0.19,0.79,0,0.26,0,0.5,,0.5,0.5,,226,163
Skal Labissiere,0.1,0.21,0.15,0.08,0.01,0.02,0.13,0.54,0.38,0.54,0.54,0.7,211,102
Smush Parker,0.01,0.1,0.05,0.22,0.02,0.01,0.17,0.34,0.23,0.42,0.39,0.7,193,86
Solomon Alabi,0.14,0.22,0.18,0.04,0.01,0.04,0.14,0.28,,0.28,0.28,0.44,216,113
Solomon Hill,0.04,0.13,0.09,0.09,0.02,0.01,0.16,0.41,0.33,0.49,0.49,0.84,201,102
Solomon Jones,0.11,0.13,0.12,0.04,0.01,0.03,0.25,0.35,0.13,0.36,0.35,0.7,208,104
Sonny Weems,0.02,0.11,0.06,0.11,0.01,0,0.19,0.4,0.23,0.43,0.43,0.57,198,92
Speedy Claxton,0,0,0,0.32,0,0,0,0.29,,0.29,0.29,0.5,180,75
Spencer Dinwiddie,0.02,0.1,0.06,0.25,0.02,0.01,0.13,0.37,0.22,0.42,0.4,0.76,198,90
Spencer Hawes,0.07,0.22,0.14,0.14,0.01,0.03,0.14,0.46,0.33,0.5,0.5,0.74,216,111
Stanley Johnson,0.03,0.15,0.09,0.11,0.02,0.01,0.15,0.36,0.3,0.4,0.42,0.73,203,99
Stephane Lasme,0.1,0.11,0.11,0.02,0.02,0.06,0.15,0.45,,0.45,0.45,0.59,203,97
Stephen Curry,0.02,0.11,0.07,0.32,0.03,0.01,0.15,0.48,0.44,0.51,0.57,0.89,190,86
Stephen Graham,0.03,0.14,0.09,0.08,0.01,0.01,0.13,0.48,0.34,0.51,0.51,0.75,198,97
Stephen Jackson,0.02,0.12,0.07,0.16,0.02,0.01,0.16,0.39,0.29,0.45,0.44,0.77,190,83
Stephen Zimmerman,0.11,0.25,0.18,0.05,0.01,0.04,0.08,0.32,,0.32,0.32,0.6,213,108
Stephon Marbury,0.01,0.07,0.04,0.25,0.01,0,0.19,0.38,0.31,0.4,0.42,0.59,188,81
Steve Blake,0.01,0.09,0.05,0.26,0.02,0,0.2,0.4,0.38,0.42,0.51,0.77,190,78
Steve Francis,0.05,0.08,0.07,0.23,0.02,0.02,0.17,0.33,0.24,0.38,0.37,0.57,190,88
Steve Nash,0.01,0.09,0.05,0.46,0.01,0,0.22,0.49,0.41,0.52,0.55,0.92,190,88
Steve Novak,0.01,0.13,0.07,0.03,0,0.01,0.04,0.43,0.44,0.43,0.59,0.77,208,102
Steven Adams,0.13,0.17,0.15,0.05,0.01,0.03,0.17,0.56,0,0.56,0.56,0.57,213,115
Steven Hill,1,0.59,0.86,0,0,0,0,1,,1,1,,213,112
Steven Hunter,0.11,0.17,0.14,0,0,0.04,0.15,0.47,,0.47,0.47,0.49,213,99
Stromile Swift,0.09,0.18,0.14,0.04,0.01,0.04,0.17,0.48,0.5,0.48,0.49,0.59,206,102
Sun Yue,0,0,0,0.1,0.02,0.03,0.21,0.27,0,0.6,0.27,,206,92
Sundiata Gaines,0.04,0.11,0.07,0.23,0.03,0,0.17,0.4,0.27,0.48,0.45,0.5,185,83
T.J. Ford,0.03,0.09,0.06,0.32,0.02,0.01,0.19,0.44,0.25,0.47,0.45,0.81,201,92
T.J. McConnell,0.02,0.13,0.08,0.37,0.03,0,0.22,0.47,0.27,0.5,0.49,0.72,208,108
T.J. Warren,0.07,0.1,0.08,0.07,0.02,0.01,0.08,0.51,0.3,0.54,0.53,0.74,208,108
Taj Gibson,0.1,0.17,0.14,0.06,0.01,0.04,0.12,0.5,0.22,0.5,0.5,0.69,206,102
Tarence Kinsey,0.04,0.11,0.08,0.04,0.02,0,0.14,0.44,0.41,0.45,0.48,0.85,198,83
Tarik Black,0.13,0.22,0.17,0.05,0.01,0.02,0.14,0.55,0.17,0.55,0.55,0.56,206,113
Taurean Green,0,0.16,0.08,0.21,0.01,0,0.22,0.29,0.21,0.36,0.33,0.89,183,80
Taurean Waller-Prince,0.03,0.15,0.09,0.08,0.02,0.02,0.16,0.4,0.32,0.44,0.46,0.79,183,88
Taylor Griffin,0,0.07,0.04,0.04,0,0.04,0.08,0.4,0,0.5,0.4,0.5,201,107
Tayshaun Prince,0.04,0.13,0.08,0.12,0.01,0.01,0.08,0.45,0.39,0.46,0.48,0.73,206,96
Terrel Harris,0.07,0.18,0.12,0.1,0.01,0.01,0.3,0.21,0.05,0.29,0.23,0.65,196,86
Terrence Jones,0.07,0.24,0.15,0.06,0.02,0.06,0.08,0.42,0.29,0.45,0.44,0.64,206,114
Terrence Ross,0.02,0.11,0.06,0.07,0.02,0.01,0.08,0.43,0.37,0.49,0.52,0.8,201,93
Terrence Williams,0.02,0.18,0.1,0.19,0.02,0,0.17,0.41,0.31,0.42,0.44,0.6,198,99
Terry Rozier,0.06,0.15,0.1,0.16,0.01,0.01,0.12,0.32,0.27,0.35,0.37,0.79,188,86
Thabo Sefolosha,0.04,0.15,0.1,0.1,0.03,0.02,0.14,0.44,0.33,0.5,0.5,0.77,201,99
Thaddeus Young,0.07,0.15,0.11,0.09,0.02,0.01,0.1,0.5,0.3,0.52,0.52,0.67,203,100
Thanasis Antetokounmpo,0,0.18,0.09,0,0,0,0,0.75,0,1,0.75,,201,92
Theo Ratliff,0.09,0.15,0.12,0.05,0.01,0.06,0.2,0.44,0,0.44,0.44,0.58,208,102
Thomas Gardner,0.04,0.06,0.05,0.04,0.01,0,0.11,0.32,0.21,0.47,0.38,0.25,196,102
Thomas Robinson,0.14,0.26,0.2,0.07,0.02,0.02,0.17,0.47,0,0.47,0.47,0.51,208,107
Thon Maker,0.08,0.15,0.12,0.06,0.01,0.04,0.08,0.46,0.38,0.51,0.54,0.65,216,97
Tiago Splitter,0.1,0.19,0.15,0.09,0.01,0.02,0.14,0.54,0.07,0.54,0.54,0.72,211,111
Tibor Pleiss,0.09,0.13,0.11,0.04,0.01,0.02,0.24,0.44,0,0.48,0.44,1,221,116
Tim Duncan,0.09,0.27,0.18,0.16,0.01,0.04,0.12,0.5,0.08,0.5,0.5,0.73,211,113
Tim Frazier,0.03,0.11,0.07,0.35,0.02,0,0.23,0.39,0.31,0.42,0.43,0.63,185,77
Tim Hardaway,0.01,0.09,0.05,0.11,0.01,0.01,0.08,0.43,0.35,0.5,0.51,0.82,183,79
Tim Ohlbrecht,0,0.09,0.05,0.12,0.04,0,0.54,0.33,,0.33,0.33,1,211,115
Tim Quarterman,0.06,0.14,0.1,0.21,0.01,0.03,0.27,0.45,0.39,0.5,0.53,0,198,88
Tim Thomas,0.04,0.15,0.09,0.09,0.01,0.01,0.12,0.42,0.38,0.45,0.5,0.75,208,104
Timofey Mozgov,0.11,0.19,0.15,0.04,0.01,0.04,0.16,0.52,0.16,0.53,0.52,0.73,216,124
Timothe Luwawu-Cabarrot,0.02,0.12,0.07,0.1,0.01,0.01,0.15,0.4,0.31,0.48,0.47,0.85,198,92
Tobias Harris,0.05,0.18,0.11,0.09,0.01,0.02,0.1,0.47,0.32,0.51,0.5,0.81,190,86
Tomas Satoransky,0.04,0.09,0.07,0.17,0.02,0.01,0.19,0.42,0.24,0.48,0.45,0.7,201,95
Toney Douglas,0.03,0.11,0.07,0.18,0.02,0.01,0.14,0.39,0.32,0.45,0.47,0.8,188,88
Tony Allen,0.06,0.12,0.09,0.1,0.03,0.02,0.15,0.48,0.24,0.49,0.49,0.69,193,96
Tony Battie,0.05,0.2,0.13,0.05,0.01,0.02,0.09,0.42,0.28,0.43,0.43,0.73,211,104
Tony Mitchell,0.15,0.08,0.12,0.13,0.05,0.02,0.08,0.51,0.5,0.56,0.53,0.58,201,92
Tony Parker,0.01,0.08,0.05,0.34,0.01,0,0.13,0.5,0.33,0.51,0.51,0.77,188,83
Tony Snell,0.02,0.11,0.07,0.07,0.01,0.01,0.11,0.41,0.36,0.47,0.51,0.82,201,90
Tony Wroten,0.03,0.1,0.07,0.26,0.02,0.01,0.21,0.39,0.23,0.44,0.42,0.64,198,92
Tornike Shengelia,0.05,0.12,0.08,0.13,0.02,0,0.26,0.46,0.17,0.53,0.47,0.44,206,98
Toure' Murry,0.04,0.03,0.03,0.1,0.02,0,0.26,0.33,0.42,0.33,0.34,0.86,196,88
Tracy McGrady,0.03,0.14,0.08,0.24,0.01,0.02,0.12,0.4,0.35,0.43,0.44,0.72,203,95
Travis Diener,0.01,0.08,0.04,0.23,0.03,0,0.04,0.28,0.21,0.34,0.35,0.49,185,79
Travis Leslie,0.16,0.08,0.12,0.17,0.02,0.04,0.1,0.36,,0.36,0.36,0.44,193,92
Travis Outlaw,0.05,0.14,0.09,0.07,0.01,0.02,0.09,0.4,0.35,0.42,0.45,0.77,206,95
Travis Wear,0.05,0.13,0.09,0.1,0.01,0.01,0.14,0.4,0.37,0.41,0.43,0.77,208,104
Trenton Hassell,0.04,0.1,0.07,0.08,0.01,0.01,0.14,0.42,0.18,0.43,0.43,0.7,196,90
Treveon Graham,0.03,0.1,0.06,0.05,0.02,0.01,0.06,0.48,0.6,0.4,0.59,0.67,198,99
Trevor Ariza,0.04,0.15,0.1,0.12,0.03,0.01,0.12,0.44,0.31,0.5,0.5,0.72,203,97
Trevor Booker,0.11,0.19,0.15,0.08,0.02,0.02,0.13,0.52,0.21,0.53,0.53,0.62,203,103
Trey Burke,0.02,0.08,0.05,0.24,0.01,0,0.12,0.4,0.36,0.43,0.47,0.81,185,86
Trey Gilder,0,0.23,0.12,0,0.1,0,0,1,,1,1,,206,83
Trey Johnson,0.02,0.08,0.05,0.1,0,0,0.12,0.39,0.33,0.39,0.39,0.96,196,98
Trey Lyles,0.05,0.19,0.12,0.08,0.01,0.01,0.12,0.4,0.35,0.43,0.47,0.71,208,106
Trey Thompkins,0.04,0.2,0.12,0.05,0.01,0.02,0.09,0.39,0.31,0.42,0.43,0.71,206,107
Tristan Thompson,0.14,0.21,0.17,0.04,0.01,0.02,0.12,0.52,0,0.52,0.52,0.6,206,107
Troy Daniels,0.02,0.08,0.05,0.09,0.01,0,0.1,0.4,0.4,0.42,0.55,0.8,193,92
Troy Hudson,0,0.08,0.04,0.13,0.02,0,0.17,0.29,0.33,0.26,0.36,1,185,77
Troy Murphy,0.06,0.23,0.14,0.08,0.02,0.01,0.12,0.42,0.3,0.48,0.48,0.75,211,111
Troy Williams,0.04,0.11,0.08,0.07,0.02,0.01,0.15,0.45,0.31,0.54,0.51,0.7,198,97
Ty Lawson,0.03,0.08,0.05,0.31,0.02,0,0.16,0.45,0.36,0.48,0.49,0.73,180,88
Tyler Ennis,0.02,0.08,0.05,0.26,0.02,0.01,0.21,0.41,0.34,0.44,0.46,0.77,190,87
Tyler Hansbrough,0.12,0.17,0.14,0.04,0.02,0.01,0.1,0.44,0.12,0.45,0.45,0.72,206,113
Tyler Honeycutt,0.07,0.2,0.13,0.1,0.01,0.02,0.18,0.3,0.17,0.33,0.31,0.8,203,85
Tyler Johnson,0.03,0.12,0.08,0.14,0.02,0.01,0.12,0.45,0.38,0.48,0.5,0.75,193,84
Tyler Ulis,0.02,0.08,0.05,0.31,0.02,0,0.14,0.42,0.27,0.46,0.45,0.78,178,68
Tyler Zeller,0.09,0.18,0.14,0.09,0.01,0.03,0.12,0.5,0,0.5,0.5,0.74,213,114
Tyreke Evans,0.03,0.15,0.09,0.26,0.02,0.01,0.14,0.43,0.31,0.46,0.47,0.76,198,99
Tyronn Lue,0.01,0.08,0.05,0.17,0.01,0,0.1,0.44,0.45,0.44,0.52,0.67,183,79
Tyrus Thomas,0.07,0.18,0.12,0.09,0.02,0.04,0.12,0.49,0.15,0.5,0.5,0.77,206,97
Tyshawn Taylor,0.01,0.07,0.04,0.19,0.03,0,0.22,0.35,0.36,0.35,0.38,0.68,190,83
Tyson Chandler,0.13,0.25,0.19,0.04,0.01,0.03,0.17,0.62,0,0.63,0.62,0.67,216,108
Tyus Jones,0.01,0.08,0.05,0.28,0.03,0.01,0.16,0.39,0.33,0.42,0.45,0.74,188,88
Udonis Haslem,0.08,0.24,0.16,0.05,0.01,0.01,0.12,0.47,0.1,0.49,0.48,0.73,203,106
Vander Blue,0.01,0.17,0.09,0.14,0.01,0,0.2,0.4,0.1,0.51,0.42,0.3,193,90
Vernon Macklin,0.12,0.18,0.15,0.06,0.02,0.02,0.07,0.54,,0.54,0.54,0.57,208,102
Viacheslav Kravtsov,0.15,0.13,0.14,0.05,0.01,0.02,0.21,0.63,,0.63,0.63,0.4,213,117
Victor Claver,0.05,0.18,0.11,0.06,0.01,0.01,0.18,0.42,0.33,0.47,0.5,0.69,206,101
Victor Oladipo,0.02,0.13,0.07,0.18,0.02,0.01,0.14,0.43,0.34,0.47,0.48,0.8,193,95
Viktor Khryapa,0.06,0.16,0.11,0.12,0.03,0,0.14,0.39,0,0.4,0.39,0.57,206,95
Vince Carter,0.03,0.13,0.08,0.15,0.02,0.01,0.1,0.42,0.36,0.45,0.49,0.8,198,99
Vitor Faverani,0.1,0.21,0.15,0.05,0.02,0.04,0.2,0.44,0.3,0.49,0.48,0.65,211,117
Vladimir Radmanovic,0.06,0.15,0.1,0.09,0.02,0.01,0.14,0.39,0.34,0.44,0.49,0.75,208,102
Von Wafer,0.01,0.11,0.06,0.08,0.01,0.01,0.13,0.36,0.25,0.43,0.41,0.7,196,95
Wade Baldwin,0.03,0.1,0.07,0.23,0.02,0.02,0.23,0.31,0.14,0.36,0.33,0.84,193,91
Walker Russell,0.02,0.07,0.04,0.26,0.03,0,0.24,0.35,0.31,0.35,0.37,0.64,196,88
Wally Szczerbiak,0.03,0.13,0.08,0.1,0.01,0.01,0.09,0.43,0.4,0.44,0.49,0.86,198,95
Walter Herrmann,0.06,0.16,0.11,0.07,0.01,0,0.07,0.39,0.32,0.45,0.47,0.83,206,102
Walter Sharpe,0,0.18,0.09,0,0,0.08,0,0.36,0,0.44,0.36,0,206,111
Walter Tavares,0.11,0.21,0.16,0.06,0.01,0.07,0.18,0.58,,0.58,0.58,0.38,221,117
Wayne Ellington,0.02,0.1,0.06,0.09,0.01,0,0.09,0.42,0.38,0.44,0.5,0.86,193,90
Wayne Selden,0,0.08,0.04,0.07,0.02,0,0.17,0.49,0.32,0.73,0.6,0.6,196,104
Wesley Johnson,0.03,0.14,0.08,0.07,0.02,0.02,0.11,0.4,0.33,0.47,0.48,0.72,201,97
Wesley Matthews,0.02,0.09,0.06,0.1,0.02,0,0.1,0.43,0.38,0.48,0.53,0.82,185,77
Will Barton,0.03,0.15,0.09,0.14,0.02,0.01,0.13,0.42,0.28,0.46,0.45,0.77,198,79
Will Bynum,0.02,0.08,0.05,0.32,0.02,0,0.17,0.42,0.23,0.46,0.44,0.76,183,83
Will Cherry,0.02,0.07,0.04,0.16,0.05,0.01,0.16,0.26,0.22,0.3,0.32,0.5,183,83
Will Conroy,0.03,0.05,0.04,0.14,0,0,0.13,0.15,0,0.21,0.15,0.25,188,88
Will Solomon,0.02,0.09,0.06,0.25,0.02,0,0.15,0.42,0.35,0.46,0.49,0.69,185,83
Willie Cauley-Stein,0.09,0.19,0.14,0.07,0.02,0.03,0.11,0.55,0,0.55,0.55,0.66,213,108
Willie Green,0.02,0.08,0.05,0.11,0.01,0.01,0.1,0.43,0.36,0.46,0.49,0.79,193,90
Willie Reed,0.13,0.21,0.17,0.04,0.01,0.05,0.09,0.57,0.25,0.57,0.57,0.55,206,106
Willie Warren,0.01,0.1,0.05,0.3,0.02,0,0.17,0.37,0.33,0.4,0.44,0.75,193,92
Willy Hernangomez,0.14,0.27,0.2,0.12,0.02,0.02,0.16,0.53,0.27,0.54,0.53,0.73,211,108
Wilson Chandler,0.04,0.16,0.1,0.09,0.01,0.02,0.11,0.44,0.33,0.48,0.49,0.77,203,102
Xavier Henry,0.03,0.09,0.06,0.06,0.02,0.01,0.11,0.37,0.31,0.38,0.39,0.62,198,99
Xavier Munford,0.01,0.14,0.07,0.14,0.03,0.01,0.15,0.42,0.39,0.43,0.47,0.5,196,90
Xavier Silas,0.06,0.06,0.06,0.11,0,0,0.16,0.27,0.17,0.33,0.3,0.67,196,92
Yakhouba Diawara,0.04,0.08,0.06,0.08,0.01,0,0.13,0.32,0.27,0.4,0.4,0.62,201,102
Yao Ming*,0.09,0.24,0.17,0.1,0,0.05,0.15,0.51,0.5,0.51,0.51,0.88,229,140
Yi Jianlian,0.07,0.19,0.13,0.05,0.01,0.02,0.12,0.4,0.31,0.41,0.42,0.75,213,108
Yogi Ferrell,0.02,0.08,0.05,0.21,0.01,0.01,0.16,0.4,0.36,0.43,0.48,0.78,183,81
Zabian Dowdell,0.02,0.06,0.04,0.28,0.04,0.01,0.18,0.41,0.3,0.42,0.42,0.94,190,86
Zach LaVine,0.01,0.1,0.06,0.18,0.01,0.01,0.14,0.44,0.37,0.48,0.51,0.82,196,85
Zach Randolph,0.11,0.25,0.18,0.11,0.01,0.01,0.11,0.47,0.25,0.48,0.48,0.75,206,117
Zaza Pachulia,0.12,0.21,0.17,0.1,0.02,0.01,0.18,0.47,0,0.48,0.47,0.75,211,122
Zoran Dragic,0.1,0.06,0.08,0.11,0.01,0,0.1,0.34,0.18,0.54,0.38,0.59,196,90
Zydrunas Ilgauskas,0.12,0.2,0.16,0.06,0.01,0.04,0.12,0.47,0.22,0.48,0.48,0.78,221,107
Zion Williamson,0.04,0.19,0.12,0.37,0.02,0.02,0.13,0.52,0.35,0.57,0.56,0.74,203,113
Ja Morant,0.02,0.07,0.05,0.24,0.02,0,0.14,0.45,0.41,0.47,0.47,0.74,183,74
RJ Barrett,0.03,0.13,0.08,0.11,0.01,0.01,0.13,0.47,0.33,0.49,0.49,0.78,203,102
De'Andre Hunter,0.05,0.16,0.1,0.06,0.03,0.01,0.12,0.4,0.36,0.51,0.52,0.81,206,97
Darius Garland,0.01,0.09,0.05,0.32,0.02,0.01,0.16,0.44,0.34,0.47,0.48,0.84,188,84
Jarrett Culver,0.02,0.16,0.09,0.16,0.02,0.01,0.14,0.44,0.37,0.49,0.52,0.82,201,106
Coby White,0.03,0.11,0.07,0.14,0.01,0.01,0.13,0.4,0.33,0.47,0.48,0.88,193,93
Jaxson Hayes,0.11,0.25,0.18,0.01,0.01,0.07,0.13,0.56,0.36,0.56,0.56,0.55,213,120
Rui Hachimura,0.09,0.2,0.15,0.13,0.02,0.03,0.12,0.49,0.24,0.51,0.51,0.74,203,111
Cam Reddish,0.02,0.1,0.06,0.19,0.01,0,0.11,0.44,0.38,0.48,0.51,0.82,201,90
Cameron Johnson,0.02,0.12,0.06,0.03,0.01,0.01,0.05,0.18,0.15,0.49,0.23,0.86,201,104
P. J. Washington,0.07,0.19,0.13,0.15,0.01,0.02,0.12,0.5,0.27,0.5,0.5,0.81,206,113
Tyler Herro,0.02,0.09,0.06,0.11,0.01,0.01,0.1,0.45,0.42,0.48,0.54,0.85,201,97
Romeo Langford,0.03,0.08,0.05,0.22,0.01,0,0.12,0.44,0.36,0.46,0.47,0.84,198,83
Sekou Doumbouya,0.05,0.2,0.12,0.18,0.02,0.03,0.16,0.48,0.26,0.51,0.51,0.73,211,100
Chuma Okeke,0.1,0.23,0.16,0.03,0.01,0.02,0.14,0.43,0.32,0.45,0.45,0.69,208,108
Nickeil Alexander-Walker,0.05,0.11,0.08,0.18,0.02,0.01,0.14,0.41,0.37,0.46,0.51,0.77,185,83
Goga Bitadze,0.11,0.26,0.18,0.12,0.01,0.02,0.11,0.5,0.25,0.5,0.5,0.69,213,117
Luka Šamani?,0.06,0.21,0.13,0.14,0.01,0.01,0.15,0.41,0.31,0.47,0.47,0.78,208,101
Matisse Thybulle,0.07,0.14,0.11,0.05,0.02,0.02,0.14,0.48,0.24,0.6,0.52,0.55,196,83
Brandon Clarke,0.07,0.18,0.12,0.08,0.02,0.03,0.12,0.5,0.21,0.5,0.5,0.59,206,106
Grant Williams,0.05,0.21,0.14,0.18,0.02,0.03,0.17,0.42,0.32,0.47,0.47,0.71,201,104
Darius Bazley,0.05,0.16,0.1,0.06,0.03,0.01,0.12,0.4,0.36,0.51,0.52,0.81,206,97
Ty Jerome,0.04,0.12,0.08,0.13,0.01,0.01,0.12,0.42,0.36,0.44,0.46,0.76,198,97
Nassir Little,0.03,0.14,0.08,0.06,0.01,0.05,0.12,0.41,0.26,0.46,0.46,0.6,203,95
Dylan Windler,0.01,0.1,0.06,0.12,0,0.01,0.15,0.36,0.42,0.14,0.53,1,201,97
Mfiondu Kabengele,0.09,0.19,0.14,0.04,0.01,0.06,0.11,0.51,0.34,0.53,0.54,0.77,208,106
Jordan Poole,0.05,0.11,0.08,0.14,0.02,0.01,0.1,0.44,0.32,0.47,0.47,0.81,201,99
Keldon Johnson,0.03,0.09,0.06,0.06,0.02,0.01,0.11,0.37,0.31,0.38,0.39,0.62,198,99
Kevin Porter Jr.,0.02,0.13,0.07,0.18,0.02,0.01,0.14,0.43,0.34,0.47,0.48,0.8,193,95
Nicolas Claxton,0.09,0.21,0.15,0.07,0.01,0.02,0.12,0.49,0.1,0.5,0.5,0.67,185,83
KZ Okpala,0.03,0.13,0.08,0.11,0.01,0.01,0.13,0.4,0.29,0.44,0.44,0.62,206,86
Carsen Edwards,0.02,0.08,0.05,0.29,0.02,0,0.13,0.44,0.37,0.48,0.51,0.87,185,81
Bruno Fernando,0.12,0.25,0.18,0.05,0.01,0.04,0.13,0.53,0.36,0.54,0.53,0.56,208,114
Daniel Gafford,0.11,0.2,0.15,0.03,0.01,0.06,0.13,0.54,0.2,0.54,0.54,0.59,213,122
